sample	pltFamily	pltGenus	plant	Order	Family	Genus	Species	Sex	jdate	caldate	tsect	meter
409,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	f	206	2012-07-25	2	35
409,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	f	206	2012-07-25	2	35
409,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	206	2012-07-25	2	35
409,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		206	2012-07-25	2	35
410	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	206	2012-07-25	2	35
412	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegomya	Pegomya spp.	f	206	2012-07-25	2	35
413	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	206	2012-07-25	2	35
414	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	m	206	2012-07-25	2	35
415	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	f	206	2012-07-25	2	35
416	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Nymphalidae	Agalais	Agalais milberti		206	2012-07-25	2	35
417	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	2	35
418	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	206	2012-07-25	2	35
419	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	2	35
420	Asteraceae	Senecio	Senecio canus	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	f	206	2012-07-25	2	35
421	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	206	2012-07-25	2	35
422	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	206	2012-07-25	2	35
423	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Syrphidae	Androloma	Androloma macullochi		206	2012-07-25	2	35
424,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.2	f	206	2012-07-25	3	71
424,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	206	2012-07-25	3	71
425	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	f	206	2012-07-25	3	71
426	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	206	2012-07-25	3	71
427	Scrophulariaceae	Pedicularis	Pedicularis bracteosa	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	3	71
428	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	206	2012-07-25	3	71
430	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	206	2012-07-25	3	71
431	Brassicaceae	Arabis	Arabis drummondii	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		206	2012-07-25	3	71
432	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	206	2012-07-25	3	71
433	Hydrophyllaceae	Phacelia	Phacelia sericea	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	3	71
434	Hydrophyllaceae	Phacelia	Phacelia sericea	Hymenoptera	Apidae	Bombus	Bombus sylvicola	f	206	2012-07-25	3	71
435	Hydrophyllaceae	Phacelia	Phacelia sericea	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	m	206	2012-07-25	3	71
436	Hydrophyllaceae	Phacelia	Phacelia sericea	Diptera	Muscidae	Thricops	Thricops inocuus	m	206	2012-07-25	3	71
437	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	206	2012-07-25	3	71
438	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	206	2012-07-25	3	71
439	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		206	2012-07-25	3	71
440	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
441,1	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	207	2012-07-26	1	35
441,2	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	207	2012-07-26	1	35
441,3	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
441,4	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	207	2012-07-26	1	35
442	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	207	2012-07-26	1	35
443,1	Valerinaceae	Valeriana	Valeriana sitchensis				 		207	2012-07-26	1	35
443,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	m	207	2012-07-26	1	35
443,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	m	207	2012-07-26	1	35
443,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Calliphoridae	Calliphorid gen.	Calliphorid sp.1	f	207	2012-07-26	1	35
443,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Musca	Musca sp.1	m	207	2012-07-26	1	35
444,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Syrphus	Syrphus ribesii	f	207	2012-07-26	1	35
445	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
446	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
448	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
449	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
450	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	1	35
451	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Phaonia	Phaonia monticola	f	207	2012-07-26	1	35
452	Scrophulariaceae	Veronica	Veronica wormskjoldii	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia sp.1	f	207	2012-07-26	1	35
453	Boraginaceae	Myosotis	Myosotis asiatica	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	1	35
454	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	207	2012-07-26	1	35
455	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Anthomyiidae	Anthomyiidae sp.2	f	207	2012-07-26	1	35
456¾2	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Syrphidae	Parasyrphus	Parasyrphus c.f. tarsatus	f	207	2012-07-26	1	35
457	Asteraceae	Arnica	Arnica angustifolia	Diptera	Muscidae	Thricops	Thricops inocuus	m	207	2012-07-26	1	35
458	Scrophulariaceae	Pedicularis	Pedicularis bracteosa	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	2	71
458	Boraginaceae	Myosotis	Myosotis asiatica	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	2	71
459,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	f	207	2012-07-26	2	71
459,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	f	207	2012-07-26	2	71
459,3	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	2	71
459,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eristalis	Eristalis tenax	f	207	2012-07-26	2	71
460..1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.3	m	207	2012-07-26	2	71
460..2	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.3	m	207	2012-07-26	2	71
461,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	2	71
461,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	2	71
461,3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	207	2012-07-26	2	71
462,1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	207	2012-07-26	2	71
462,2	Rosaceae	Fragaria	Fragaria virginiana				 		207	2012-07-26	2	71
463,1	Rosaceae	Fragaria	Fragaria virginiana				 		207	2012-07-26	2	71
463,2	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	207	2012-07-26	2	71
464	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	3	61
464	Scrophulariaceae	Veronica	Veronica wormskjoldii	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	3	61
464	Boraginaceae	Myosotis	Myosotis asiatica	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	3	61
465,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		207	2012-07-26	3	61
465,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	207	2012-07-26	3	61
465,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	207	2012-07-26	3	61
465,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	207	2012-07-26	3	61
465,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia sp.1	f	207	2012-07-26	3	61
465,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	207	2012-07-26	3	61
465,7	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	207	2012-07-26	3	61
466,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	207	2012-07-26	3	61
466,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	207	2012-07-26	3	61
466,3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	207	2012-07-26	3	61
467,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	210	2012-07-29	1	20
467,2	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	1	20
467,3	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	1	20
467,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	1	20
467,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	1	20
467,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	1	20
467,7	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	1	20
467,8	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	210	2012-07-29	1	20
467,9	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	210	2012-07-29	1	20
467,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia sp.3	f	210	2012-07-29	1	20
467,11	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.	f	210	2012-07-29	1	20
467,12	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Syrphidae	Androloma	Androloma macullochi		210	2012-07-29	1	20
483	Fabaceae	Astragalus	Hedysarum sulphurescens	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	1	20
484,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.	f	210	2012-07-29	1	20
484,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	210	2012-07-29	1	20
484,3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	1	20
485,1	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	1	20
485,2	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	1	20
485,3	Asteraceae	Erigeron	Erigeron peregrinus	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	1	20
486,1	Asteraceae	Senecio	Senecio canus	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	1	20
486,2	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	1	20
486,3	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	1	20
488	Asteraceae	Arnica	Arnica angustifolia	Diptera	Anthomyiidae	Pegomya	Pegomya sp.2	f	210	2012-07-29	1	20
489,1	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	2	24
489,2	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	2	24
489,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus c.f. tarsatus	f	210	2012-07-29	2	24
489,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	m	210	2012-07-29	2	24
489,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	2	24
490,1	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	210	2012-07-29	2	24
490,2	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	210	2012-07-29	2	24
490,3	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia spp.	f	210	2012-07-29	2	24
490,4	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	2	24
490,5	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	210	2012-07-29	2	24
492	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	2	24
493	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Drymeia	Drymeia spp.	f	210	2012-07-29	2	24
494,1	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	210	2012-07-29	2	24
494,2	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	2	24
494,3	Asteraceae	Senecio	Senecio canus	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		210	2012-07-29	2	24
495	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia spp.	f	210	2012-07-29	3	18
496	Fabaceae	Astragalus	Astragalus alpinus	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	3	18
497,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	210	2012-07-29	3	18
497,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Empididae	Rhamphomyia	Rhamphomyia empis spp.		210	2012-07-29	3	18
497,3	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		210	2012-07-29	3	18
498	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Empididae	Rhamphomyia	Rhamphomyia empis spp.		210	2012-07-29	3	18
499,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	210	2012-07-29	3	18
499,2	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	210	2012-07-29	3	18
500	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	210	2012-07-29	3	18
501,1	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Drymeia	Drymeia spp.	f	211	2012-07-30	1	28
501,2	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Drymeia	Drymeia spp.	f	211	2012-07-30	1	28
501,3	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Syrphidae	Platycheirus	Platycheirus spp.	f	211	2012-07-30	1	28
502,1	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Phaonia	Phaonia monticola	f	211	2012-07-30	1	28
502,2	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	211	2012-07-30	1	28
503,1	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	1	28
503,2	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	1	28
503,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	211	2012-07-30	1	28
504	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	211	2012-07-30	1	28
505,1	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Phaonia	Phaonia monticola	m	211	2012-07-30	2	74
505,2	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	211	2012-07-30	2	74
506,1	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		211	2012-07-30	2	74
506,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	211	2012-07-30	2	74
507	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		211	2012-07-30	2	74
508	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Sesiidae	Synanthedon	Synanthedon sp.1		211	2012-07-30	2	74
509	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	2	74
510,1	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	211	2012-07-30	2	74
510,2	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	211	2012-07-30	2	74
511,1	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		211	2012-07-30	2	74
511,2	Boraginaceae	Myosotis	Myosotis asiatica	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	2	74
512	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	3	77
513	Asteraceae	Erigeron	Erigeron peregrinus	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	211	2012-07-30	3	77
514,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
514,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia sp.1	m	212	2012-07-31	1	8
514,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	212	2012-07-31	1	8
514,4	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	212	2012-07-31	1	8
515,1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	212	2012-07-31	1	8
515,2	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	212	2012-07-31	1	8
516,1	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	212	2012-07-31	1	8
516,2	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	212	2012-07-31	1	8
516,3	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia spp.	f	212	2012-07-31	1	8
516,4	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
516,5	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	212	2012-07-31	1	8
517,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
517,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
517,3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	212	2012-07-31	1	8
517,4	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	212	2012-07-31	1	8
517,5	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	212	2012-07-31	1	8
518	Boraginaceae	Myosotis	Myosotis asiatica	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	212	2012-07-31	1	8
519,1	Ranunculaceae	Aquilegia	Aquilegia flavescens	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
519,2	Ranunculaceae	Aquilegia	Aquilegia flavescens	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	212	2012-07-31	1	8
520	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	1	8
521..1	Ranunculaceae	Aquilegia	Aquilegia flavescens	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	212	2012-07-31	1	8
521..2	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	212	2012-07-31	1	8
522	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops inocuus	m	212	2012-07-31	1	8
523	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	212	2012-07-31	1	8
524	Hydrophyllaceae	Phacelia	Phacelia sericea	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	212	2012-07-31	1	8
525,1	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		212	2012-07-31	2	51
525,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.	f	212	2012-07-31	2	51
526	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	2	51
527,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	f	212	2012-07-31	2	51
527,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	212	2012-07-31	2	51
528,1	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Stratiomyidae	Beris	Beris sp.1	f	212	2012-07-31	2	51
528,2	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Drymeia	Drymeia spp.	f	212	2012-07-31	2	51
528,3	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops inocuus	m	212	2012-07-31	2	51
528,4	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	2	51
528,5	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	212	2012-07-31	2	51
528,6	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops inocuus	m	212	2012-07-31	2	51
529	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria sulphuripes	f	212	2012-07-31	2	51
530	Ranunculaceae	Aquilegia	Aquilegia flavescens	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	212	2012-07-31	2	51
531	Rosaceae	Potentilla	Potentilla fruticosa	Diptera	Muscidae	Drymeia	Drymeia spp.	f	212	2012-07-31	2	51
532	Saxifragaceae	Saxifraga	Saxifraga bronchialis	Diptera	Empididae	Rhamphomyia	Rhamphomyia empis spp.		212	2012-07-31	2	51
533,1	Asteraceae	Erigeron	Erigeron compositus	Diptera	Muscidae	Schoenomyza	Schoenomyza sp.1	f	212	2012-07-31	2	51
533,2	Asteraceae	Erigeron	Erigeron compositus	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.	f	212	2012-07-31	2	51
